Name,Ratings,Details,Price
"OPPO A7 (Glaring Gold, 64 GB)",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
15.75 cm (6.2 inch) HD+ Display
13MP + 2MP | 16MP Front Camera
4230 mAh Battery
Qualcomm Snapdragon 450 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
","₹9,990"
"Redmi Note 7 Pro (Space Black, 64 GB)",4.5,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.0 cm (6.3 inch) Full HD+ Display
48MP + 5MP | 13MP Front Camera
4000 mAh Li-polymer Battery
Qualcomm Snapdragon 675 Processor
Splash Proof - Protected by P2i
Quick Charge 4.0 Support
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹10,999"
"Yu Ace (Rose Gold, 16 GB)",4.1,"2 GB RAM | 16 GB ROM | Expandable Upto 128 GB
13.84 cm (5.45 inch) HD+ Display
13MP Rear Camera | 5MP Front Camera
4000 mAh Polymer Battery
MT6739WW Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹3,999"
"Redmi Note 7 Pro (Astro Moonlight White, 128 GB)",4.5,"6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
16.0 cm (6.3 inch) Full HD+ Display
48MP + 5MP | 13MP Front Camera
4000 mAh Li-polymer Battery
Qualcomm Snapdragon 675 Processor
Quick Charge 4.0 Support
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹11,999"
"Vivo Y15 (Burgundy Red, 64 GB)",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.13 cm (6.35 inch) HD+ Display
13MP + 2MP + 8MP | 16MP Front Camera
5000 mAh Battery
MediaTek Helio P22 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹11,990"
Micromax X749,4.2,"32 MB RAM | 32 MB ROM |
6.1 cm (2.4 inch) Display
0.3MP Rear Camera
1750 mAh Battery
1 Year Product and 6 Month Accessories
","₹1,069"
"Vivo Y15 (Aqua Blue, 64 GB)",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.13 cm (6.35 inch) HD+ Display
13MP + 2MP + 8MP | 16MP Front Camera
5000 mAh Battery
MediaTek Helio P22 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹11,990"
"Realme 6 Pro (Lightning Orange, 128 GB)",4.7,"8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
16.76 cm (6.6 inch) Full HD+ Display
64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera
4300 mAh Battery
Snapdragon 720G Processor
90 Hz Ultra Smooth Display
30 W Flash Charge
Side Fingerprint Sensor | Dual In Display Selfie
Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
","₹18,999"
"Realme XT (Pearl Blue, 64 GB)",4.5,"6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.26 cm (6.4 inch) Display
64MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera
4000 mAh Battery
Qualcomm 712 Processor
FHD+ Super AMOLED Display
In Display Fingerprint Sensor
Brand warranty of 1 year for mobile and 6 months for accessories
","₹16,999"
"Gionee F205 (Black, 16 GB)",4.1,"2 GB RAM | 16 GB ROM | Expandable Upto 256 GB
13.84 cm (5.45 inch) HD+ Display
8MP Rear Camera | 5MP Front Camera
2670 mAh Lithium-polymer Battery
MediaTek MT6739 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹4,499"
"Redmi Note 8 (Cosmic Purple, 128 GB)",4.4,"6 GB RAM | 128 GB ROM |
16.0 cm (6.3 inch) Display
48MP Rear Camera | 13MP Front Camera
4000 mAh Battery
1 year
","₹14,225"
"Redmi Note 8 (Neptune Blue, 64 GB)",4.4,"4 GB RAM | 64 GB ROM |
16.0 cm (6.3 inch) Full HD+ Display
48MP + 8MP | 13MP Front Camera
4000 mAh Battery
1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
","₹11,576"
"Moto E6s (Caribbean Blue, 64 GB)",4.1,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
15.49 cm (6.1 inch) HD+ Display
13MP + 2MP | 8MP Front Camera
3000 mAh Battery
MediaTek Helio P22 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹6,999"
"Redmi Note 7 Pro (Neptune Blue, 64 GB)",4.5,"6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.0 cm (6.3 inch) Full HD+ Display
48MP + 5MP | 13MP Front Camera
4000 mAh Li-polymer Battery
Qualcomm Snapdragon 675 Processor
Splash Proof - Protected by P2i
Quick Charge 4.0 Support
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹10,999"
"Realme X2 (Pearl White, 64 GB)",4.5,"4 GB RAM | 64 GB ROM |
16.26 cm (6.4 inch) Full HD+ Display
64MP + 8MP + 2MP + 2MP | 32MP Front Camera
4000 mAh Battery
Qualcomm Snapdragon 730G Processor
30W VOOC 4.0 Fast Charger
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹16,999"
"Realme X2 (Pearl Blue, 128 GB)",4.5,"8 GB RAM | 128 GB ROM |
16.26 cm (6.4 inch) Full HD+ Display
64MP + 8MP + 2MP + 2MP | 32MP Front Camera
4000 mAh Battery
Qualcomm Snapdragon 730G Processor
30W VOOC 4.0 Fast Charger
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹19,999"
"Realme X2 (Pearl White, 128 GB)",4.5,"8 GB RAM | 128 GB ROM |
16.26 cm (6.4 inch) Full HD+ Display
64MP + 8MP + 2MP + 2MP | 32MP Front Camera
4000 mAh Battery
Qualcomm Snapdragon 730G Processor
30W VOOC 4.0 Fast Charger
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹19,999"
"Realme X2 (Pearl Blue, 128 GB)",4.5,"6 GB RAM | 128 GB ROM |
16.26 cm (6.4 inch) Full HD+ Display
64MP + 8MP + 2MP + 2MP | 32MP Front Camera
4000 mAh Battery
Qualcomm Snapdragon 730G Processor
30W VOOC 4.0 Fast Charger
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹18,999"
"Motorola One Macro (Space Blue, 64 GB)",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
15.75 cm (6.2 inch) HD+ Display
13MP + 2MP + 2MP | 8MP Front Camera
4000 mAh Battery
MediaTek Helio P70 Processor
Dedicated Macro Camera
Quad Sensor AI System with Laser Autofocus
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹8,999"
"POCO X2 (Atlantis Blue, 128 GB)",4.6,"6 GB RAM | 128 GB ROM | Expandable Upto 512 GB
16.94 cm (6.67 inch) Full HD+ Display
64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera
4500 mAh Lithium-ion Polymer Battery
Qualcomm Snapdragon 730G Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹16,999"
Nokia 105 SS,4.3,"4 MB RAM | 4 MB ROM |
4.5 cm (1.77 inch) Quarter QVGA Display
800 mAh Lithium Ion Battery
Brand Warranty of 1 Year Available for Mobile
","₹1,081"
Nokia 105 ss,4.3,"4 MB RAM | 4 MB ROM |
4.57 cm (1.8 inch) Quarter QVGA Display
800 mAh Battery
1 Year Manufacturer Warranty
","₹1,085"
Nokia 105 SS,4.3,"4 MB RAM | 4 MB ROM |
4.5 cm (1.77 inch) Quarter QVGA Display
800 mAh Lithium Ion Battery
Brand Warranty of 1 Year Available for Mobile
","₹1,090"
Nokia 105 SS,4.3,"4 MB RAM | 4 MB ROM |
4.5 cm (1.77 inch) Quarter QVGA Display
800 mAh Lithium Ion Battery
Brand Warranty of 1 Year Available for Mobile
","₹1,097"
